be	was	been
have	had	had
up	upped	upped
do	did	done
get	got	got
know	knew	known
see	saw	seen
make	made	made
think	thought	thought
go	went	gone
take	took	taken
say	said	said
man	manned	manned
come	came	come
find	found	found
give	gave	given
show	showed	shown
feel	felt	felt
keep	kept	kept
put	put	put
lot	lotted	lotted
company	companied	companied
let	let	let
set	set	set
top	topped	topped
read	read	read
mean	meant	meant
tell	told	told
stop	stopped	stopped
job	jobbed	jobbed
try	tried	tried
party	partied	partied
run	ran	run
shit	shit	shit
general	generaled	generaled
war	warred	warred
level	leveled	leveled
become	became	become
body	bodied	bodied
control	controlled	controlled
pay	paid	paid
win	won	won
bit	bitted	bitted
hit	hit	hit
understand	understood	understood
leave	left	left
saw	sawed	sawed
light	lit	lit
buy	bought	bought
deal	dealt	dealt
plan	planned	planned
ready	readied	readied
bring	brought	brought
meet	met	met
program	programmed	programmed
baby	babied	babied
study	studied	studied
cost	cost	cost
cut	cut	cut
fight	fought	fought
hear	heard	heard
total	totaled	totaled
club	clubbed	clubbed
hold	held	held
star	starred	starred
break	broke	broken
learn	learned	learned
press	pressed	pressed
stand	stood	stood
drive	drove	driven
eat	ate	eaten
fall	fell	fallen
model	modeled	modeled
step	stepped	stepped
cup	cupped	cupped
send	sent	sent
dog	dogged	dogged
two-step	two-stepped	two-stepped
lose	lost	lost
bed	bedded	bedded
forget	forgot	forgotten
sleep	slept	slept
build	built	built
speak	spoke	spoken
write	wrote	written
beat	beat	beat
gas	gassed	gassed
focus	focused	focused
speed	sped	sped
travel	traveled	traveled
drop	dropped	dropped
kid	kidded	kidded
sell	sold	sold
spend	spent	spent
sun	sunned	sunned
gun	gunned	gunned
fit	fit	fit
bar	barred	barred
hurt	hurt	hurt
ship	shipped	shipped
fan	fanned	fanned
spring	sprung	sprung
wear	wore	worn
choose	chose	chosen
dream	dreamed	dreamed
skin	skinned	skinned
co-star	co-starred	co-starred
drink	drunk	drunk
grow	grew	grown
sit	sat	sat
trip	tripped	tripped
carry	carried	carried
japan	japanned	japanned
spot	spotted	spotted
shop	shopped	shopped
catch	caught	caught
drug	drugged	drugged
pop	popped	popped
channel	channeled	channeled
fat	fatted	fatted
ride	rode	ridden
traffic	trafficked	trafficked
air-drop	air-dropped	air-dropped
begin	began	begun
lie	lay	laid
wind	wound	wound
worry	worried	worried
bus	bussed	bussed
hot-dog	hot-dogged	hot-dogged
throw	threw	thrown
benefit	benefited	benefited
metal	metalled	metalled
target	targeted	targeted
apply	applied	applied
draw	drew	drawn
rise	rose	risen
spread	spread	spread
supply	supplied	supplied
chairman	chairmanned	chairmanned
bag	bagged	bagged
bet	bet	bet
cast	cast	cast
cat	catted	catted
shut	shut	shut
copy	copied	copied
prove	proved	proved
dress	dressed	dressed
map	mapped	mapped
net	netted	netted
wake	woke	woke
busy	busied	busied
fix	fixed	fixed
fly	flew	flown
treat	treated	treated
baby-sit	baby-sat	baby-sat
dry	dried	dried
web	webbed	webbed
blog	blogged	blogged
shoot	shot	shot
fuel	fueled	fueled
harry	harried	harried
initial	initialed	initialed
sky	skied	skied
transfer	transferred	transferred
feed	fed	fed
mistake	mistook	mistaken
teach	taught	taught
sub	subbed	subbed
equal	equalled	equalled
split	split	split
lay	laid	laid
bob	bobbed	bobbed
signal	signaled	signaled
seek	sought	sought
upset	upset	upset
wing	winged	winged
don	donned	donned
hang	hung	hung
blow	blew	blown
cry	cried	cried
empty	emptied	emptied
admit	admitted	admitted
flag	flagged	flagged
plot	plotted	plotted
chat	chatted	chatted
prefer	preferred	preferred
combat	combated	combated
force-feed	force-fed	force-fed
identify	identified	identified
ban	banned	banned
dirty	dirtied	dirtied
panel	panelled	panelled
tip	tipped	tipped
hide	hid	hidden
quit	quit	quit
sing	sang	sung
wet	wet	wet
window-shop	window-shopped	window-shopped
burn	burned	burned
hat	hatted	hatted
switch-hit	switch-hit	switch-hit
fantasy	fantasied	fantasied
grab	grabbed	grabbed
cap	capped	capped
fed	fedded	fedded
swear	swore	sworn
reply	replied	replied
rid	rid	rid
sight-read	sight-read	sight-read
smell	smelled	smelled
earn	earned	earned
pocket	pocketed	pocketed
bullshit	bullshit	bullshit
format	formatted	formatted
gap	gapped	gapped
occur	occurred	occurred
thin	thinned	thinned
pet	pet	pet
refer	referred	referred
jimmy	jimmied	jimmied
tag	tagged	tagged
label	labeled	labeled
output	output	output
kit	kitted	kitted
steal	stole	stolen
bid	bid	bid
co-occur	co-occurred	co-occurred
crap	crapped	crapped
hop	hopped	hopped
marry	married	married
pot	potted	potted
string	strung	strung
broadcast	broadcast	broadcast
pan	panned	panned
pen	penned	penned
spin	span	spun
cop	copped	copped
log	logged	logged
log-in	logged in	logged in
regret	regretted	regretted
sin	sinned	sinned
blow-dry	blow-dried	blow-dried
comparison-shop	comparison-shopped	comparison-shopped
glory	gloried	gloried
strip	stripped	stripped
fancy	fancied	fancied
input	input	input
rob	robbed	robbed
tear	tore	torn
cross-refer	cross-referred	cross-referred
deny	denied	denied
rally	rallied	rallied
sum	summed	summed
swing	swung	swung
twin	twinned	twinned
commit	committed	committed
shake	shook	shaken
trap	trapped	trapped
bed-hop	bed-hopped	bed-hopped
jacket	jacketed	jacketed
bite	bit	bit
chip	chipped	chipped
grave	graved	graven
steady	steadied	steadied
bat	batted	batted
devil	deviled	deviled
slide	slid	slid
stem	stemmed	stemmed
summit	summited	summited
candy	candied	candied
drag	dragged	dragged
jet	jetted	jetted
rely	relied	relied
worship	worshipped	worshipped
bloody	bloodied	bloodied
con	conned	conned
pin	pinned	pinned
slip	slipped	slipped
submit	submitted	submitted
tap	tapped	tapped
overcome	overcame	overcome
parallel	paralleled	paralleled
pit	pitted	pitted
clip	clipped	clipped
panic	panicked	panicked
rip	ripped	ripped
side-slip	side-slipped	side-slipped
forgive	forgave	forgiven
vary	varied	varied
pat	patted	patted
shoe	shod	shod
spy	spied	spied
tunnel	tunneled	tunneled
shed	shed	shed
bin	binned	binned
canal	canalled	canalled
dig	dug	dug
outfit	outfitted	outfitted
permit	permitted	permitted
spin-dry	spin-dried	spin-dried
arc	arced	arced
sink	sank	sunk
skip	skipped	skipped
snap	snapped	snapped
swim	swam	swum
bug	bugged	bugged
flip	flipped	flipped
wrap	wrapped	wrapped
census	censused	censused
mar	marred	marred
qualify	qualified	qualified
ram	rammed	rammed
bias	biased	biased
cancel	cancelled	cancelled
lap	lapped	lapped
rival	rivaled	rivaled
barrel	barreled	barreled
bless	blessed	blessed
dam	dammed	dammed
jam	jammed	jammed
rat	ratted	ratted
shine	shone	shone
counsel	counseled	counseled
inter	interred	interred
marvel	marveled	marveled
shy	shied	shied
burst	burst	burst
crop	cropped	cropped
par	parred	parred
podcast	podcast	podcast
awake	awoke	awaken
hero-worship	hero-worshipped	hero-worshipped
hurry	hurried	hurried
inventory	inventoried	inventoried
justify	justified	justified
lean	leaned	leaned
patrol	patrolled	patrolled
pig	pigged	pigged
plug	plugged	plugged
sweat	sweat	sweat
bend	bent	bent
mud	mudded	mudded
brad	bradded	bradded
dive	dove	dove
ham	hammed	hammed
rap	rapped	rapped
rev	revved	revved
drum	drummed	drummed
freeze	froze	frozen
grip	gripped	gripped
lip-read	lip-read	lip-read
ally	allied	allied
belly	bellied	bellied
gift-wrap	gift-wrapped	gift-wrapped
forecast	forecast	forecast
hug	hugged	hugged
slot	slotted	slotted
breed	bred	bred
bud	budded	budded
rebel	rebelled	rebelled
spray-dry	spray-dried	spray-dried
blanket	blanketed	blanketed
monkey	monkeyed	monkeyed
scan	scanned	scanned
span	spanned	spanned
quick-freeze	quick-froze	quick-frozen
beg	begged	begged
dip	dipped	dipped
rabbit	rabbitted	rabbitted
skin-dive	skin-dove	skin-dived
slim	slimmed	slimmed
spam	spammed	spammed
withdraw	withdrew	withdrawn
bust	bust	bust
comply	complied	complied
court-martial	court-martialed	court-martialed
nut	nutted	nutted
